# armed	round	pages
0	100	27
0	200	52
0	300	77
0	400	102
0	500	127
0	600	153
0	700	178
0	800	203
0	900	228
0	1000	253
0	1100	279
0	1200	304
0	1300	329
0	1400	354
0	1500	379
0	1600	405
0	1700	430
0	1800	455
0	1900	480
0	2000	505
0	2100	531
0	2200	556
0	2300	581
0	2400	606
0	2500	631
0	2600	657
0	2700	682
0	2800	707
0	2900	732
0	3000	757
0	3100	783
0	3200	808
0	3300	833
0	3400	858
0	3500	883
0	3600	909
0	3700	934
0	3800	959
0	3900	984
0	4000	1009
0	4100	1036
0	4200	1061
0	4300	1086
0	4400	1111
0	4500	1136
0	4600	1162
0	4700	1187
0	4800	1212
0	4900	1237
0	5000	1262
0	5100	1287
0	5200	1313
0	5300	1338
0	5400	1363
0	5500	1388
0	5600	1413
0	5700	1439
0	5800	1464
0	5900	1489
0	6000	1514
0	6100	1539
0	6200	1565
0	6300	1590
0	6400	1615
0	6500	1640
0	6600	1665
0	6700	1691
0	6800	1716
0	6900	1741
0	7000	1766
0	7100	1791
0	7200	1817
0	7300	1842
0	7400	1867
0	7500	1892
0	7600	1917
0	7700	1943
0	7800	1968
0	7900	1993
0	8000	2018
0	8100	2043
0	8200	2070
0	8300	2095
0	8400	2120
0	8500	2145
0	8600	2170
0	8700	2196
0	8800	2221
0	8900	2246
0	9000	2271
0	9100	2296
0	9200	2322
0	9300	2347
0	9400	2372
0	9500	2397
0	9600	2422
0	9700	2447
0	9800	2473
0	9900	2498
0	10000	2523
0	10100	2548
0	10200	2573
0	10300	2599
0	10400	2624
0	10500	2649
0	10600	2674
0	10700	2699
0	10800	2725
0	10900	2750
0	11000	2775
0	11100	2800
0	11200	2825
0	11300	2851
0	11400	2876
0	11500	2901
0	11600	2926
0	11700	2951
0	11800	2977
0	11900	3002
0	12000	3027
0	12100	3052
0	12200	3077
0	12300	3104
0	12400	3129
0	12500	3154
0	12600	3179
0	12700	3204
0	12800	3230
0	12900	3255
0	13000	3280
0	13100	3305
0	13200	3330
0	13300	3356
0	13400	3381
0	13500	3406
0	13600	3431
0	13700	3456
0	13800	3482
0	13900	3507
0	14000	3532
0	14100	3557
0	14200	3582
0	14300	3607
0	14400	3633
0	14500	3658
0	14600	3683
0	14700	3708
0	14800	3733
0	14900	3759
0	15000	3784
0	15100	3809
0	15200	3834
0	15300	3859
0	15400	3885
0	15500	3910
0	15600	3935
0	15700	3960
0	15800	3985
0	15900	4011
0	16000	4036
0	16100	4061
0	16200	4086
0	16300	4111
0	16400	4138
0	16500	4163
0	16600	4188
0	16700	4213
0	16800	4238
0	16900	4264
0	17000	4289
0	17100	4314
0	17200	4339
0	17300	4364
0	17400	4390
0	17500	4415
0	17600	4440
0	17700	4465
0	17800	4490
0	17900	4516
0	18000	4541
0	18100	4566
0	18200	4591
0	18300	4616
0	18400	4642
0	18500	4667
0	18600	4692
0	18700	4717
0	18800	4742
0	18900	4767
0	19000	4793
0	19100	4818
0	19200	4843
0	19300	4868
0	19400	4893
0	19500	4919
0	19600	4944
0	19700	4969
0	19800	4994
0	19900	5019
0	20000	5045
0	20100	5070
0	20200	5095
0	20300	5120
0	20400	5145
0	20500	5172
0	20600	5197
0	20700	5222
0	20800	5247
0	20900	5272
0	21000	5298
0	21100	5323
0	21200	5348
0	21300	5373
0	21400	5398
0	21500	5424
0	21600	5449
0	21700	5474
0	21800	5499
0	21900	5524
0	22000	5550
0	22100	5575
0	22200	5600
0	22300	5625
0	22400	5650
0	22500	5676
0	22600	5701
0	22700	5726
0	22800	5751
0	22900	5776
0	23000	5802
0	23100	5827
0	23200	5852
0	23300	5877
0	23400	5902
0	23500	5927
0	23600	5953
0	23700	5978
0	23800	6003
0	23900	6028
0	24000	6053
0	24100	6079
0	24200	6104
0	24300	6129
0	24400	6154
0	24500	6179
0	24600	6206
0	24700	6231
0	24800	6256
0	24900	6281
0	25000	6306
0	25100	6332
0	25200	6357
0	25300	6382
0	25400	6407
0	25500	6432
0	25600	6458
0	25700	6483
0	25800	6508
0	25900	6533
0	26000	6558
0	26100	6584
0	26200	6609
0	26300	6634
0	26400	6659
0	26500	6684
0	26600	6710
0	26700	6735
0	26800	6760
0	26900	6785
0	27000	6810
0	27100	6836
0	27200	6861
0	27300	6886
0	27400	6911
0	27500	6936
0	27600	6962
0	27700	6987
0	27800	7012
0	27900	7037
0	28000	7062
0	28100	7087
0	28200	7113
0	28300	7138
0	28400	7163
0	28500	7188
0	28600	7213
0	28700	7240
0	28800	7265
0	28900	7290
0	29000	7315
0	29100	7340
0	29200	7366
0	29300	7391
0	29400	7416
0	29500	7441
0	29600	7466
0	29700	7492
0	29800	7517
0	29900	7542
0	30000	7567
0	30100	7592
0	30200	7618
0	30300	7643
0	30400	7668
0	30500	7693
0	30600	7718
0	30700	7744
0	30800	7769
0	30900	7794
0	31000	7819
0	31100	7844
0	31200	7870
0	31300	7895
0	31400	7920
0	31500	7945
0	31600	7970
0	31700	7996
0	31800	8021
0	31900	8046
0	32000	8071
0	32100	8096
0	32200	8122
0	32300	8147
0	32400	8172
0	32500	8197
0	32600	8222
0	32700	8247
0	32800	8274
0	32900	8299
0	33000	8324
0	33100	8349
0	33200	8374
0	33300	8400
0	33400	8425
0	33500	8450
0	33600	8475
0	33700	8500
0	33800	8526
0	33900	8551
0	34000	8576
0	34100	8601
0	34200	8626
0	34300	8652
0	34400	8677
0	34500	8702
0	34600	8727
0	34700	8752
0	34800	8778
0	34900	8803
0	35000	8828
0	35100	8853
0	35200	8878
0	35300	8904
0	35400	8929
0	35500	8954
0	35600	8979
0	35700	9004
0	35800	9030
0	35900	9055
0	36000	9080
0	36100	9105
0	36200	9130
0	36300	9156
0	36400	9181
0	36500	9206
0	36600	9231
0	36700	9256
0	36800	9282
0	36900	9308
0	37000	9333
0	37100	9358
0	37200	9383
0	37300	9408
0	37400	9434
0	37500	9459
0	37600	9484
0	37700	9509
