# variant	K	W	B	every	events	collections	stw_us	mark_us	sweep_us	live_cells	freed_cells	pause_p50_ms	pause_max_ms	wall_s	events_per_s	p50_ns	p99_ns	p999_ns	p9999_ns	max_ns	max_clean_ns	over_100us	switches	page_faults	stock_collections	peak_rss_mb
scoped	300	3	1	100000	2000000	20	3.2931	2.7964	0.9839	302	100515	0.006082	0.046468	0.118408268	1.6890712395185106e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.891072
coop	300	3	1	100000	2000000	20	0.05155	2.31135	1.001	302	100515	0.002605	0.017323	0.118756735	1.68411501040341e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.362688
full	300	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.24201	5.933847	0.090718126	2.204631078909192e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	628.985856
scoped	1000	3	1	100000	2000000	20	2.8703499999999997	3.80825	1.1867	1002	100550	0.007143	0.041368	0.119497373	1.6736769602458121e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.809152
coop	1000	3	1	100000	2000000	20	0.031	3.5206	1.22135	1002	100550	0.004118	0.017873	0.119837514	1.6689264765622556e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.108736
full	1000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.301443	6.287555	0.09190737	2.1761040491094455e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	629.334016
scoped	3000	3	1	100000	2000000	20	4.19845	11.6454	2.4381	3002	100650	0.01584	0.054233	0.115830473	1.7266613423913065e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.129216
coop	3000	3	1	100000	2000000	20	0.05205	8.1945	1.95685	3002	100650	0.009578	0.022592	0.118672085	1.6853163066950414e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.78048
full	3000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.699765	6.096805	0.099729601	2.0054226427718285e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	629.850112
scoped	10000	3	1	100000	2000000	20	3.2472	29.31185	4.49995	10002	101000	0.035868	0.067838	0.114963628	1.7396806579555754e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.84192
coop	10000	3	1	100000	2000000	20	0.0526	24.5728	4.4609	10002	101000	0.028393	0.041799	0.129271617	1.547130024682835e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	630.013952
full	10000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	2.606969	6.032043	0.098312917	2.0343206783295833e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	629.256192
scoped	30000	3	1	100000	2000000	20	3.2001500000000003	80.70775	12.7466	30002	102000	0.09516	0.143511	0.115778646	1.7274342627914306e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.170176
coop	30000	3	1	100000	2000000	20	0.047049999999999995	82.6634	13.347299999999999	30002	102000	0.094128	0.123332	0.13101161	1.526582262442237e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.075968
full	30000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	3.57711	6.925779	0.116654157	1.7144695495077815e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	629.788672
scoped	100000	3	1	100000	2000000	20	3.0027	278.8723	45.44355	100002	105500	0.327569	0.373384	0.12749248	1.5687199746996844e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.051392
coop	100000	3	1	100000	2000000	20	0.0596	240.122	50.3155	100002	105500	0.280319	0.447936	0.123334944	1.6216004443963585e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	630.587392
full	100000	3	1	100000	2000000	20	NA	NA	NA	NA	NA	6.076086	11.308789	0.168915796	1.184021889817812e7	NA	NA	NA	NA	NA	NA	NA	0	0	20	629.813248
