# variant	K	W	B	every	events	collections	stw_us	mark_us	sweep_us	live_cells	freed_cells	pause_p50_ms	pause_max_ms	wall_s	events_per_s	p50_ns	p99_ns	p999_ns	p9999_ns	max_ns	max_clean_ns	over_100us	switches	page_faults	stock_collections	peak_rss_mb
autopool	10000	3	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.09765132	5.1202584870332524e7	NA	NA	NA	NA	NA	NA	NA	0	0	10	629.06368
batch	10000	3	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.206619292	2.419909560042438e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	628.957184
batch	10000	3	100	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.093426086	5.3518243288068384e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.403648
batch	10000	3	1000	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.091505161	5.464172671091197e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.30944
pooled	10000	3	1	100000	5000000	50	2.1828600000000002	27.869419999999998	3.5856999999999997	10002	487	0.033813	0.072738	0.22235679	2.248638325818609e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.90336
autopool	10000	200	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.389999574	1.282052682447289e7	NA	NA	NA	NA	NA	NA	NA	0	0	251	629.854208
batch	10000	200	1	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.247530442	2.0199535699936252e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.76
batch	10000	200	100	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.121525149	4.114374712677785e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.325824
batch	10000	200	1000	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.137594502	3.63386612642415e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.190656
pooled	10000	200	1	100000	5000000	50	1.93192	24.2972	3.5896399999999997	10002	487	0.029987	0.067337	0.215456028	2.320659137000335e7	NA	NA	NA	NA	NA	NA	NA	0	0	NA	629.141504
