# t_s	rss_mb	live_mb	reset_pages	misses
9.999900109	306.0736	44.917152	3	0
19.999900107	306.0736	47.850544	3	0
29.999900146	306.0736	50.783936	3	0
39.999900115	306.0736	53.717152	3	0
49.999900106	306.0736	56.650544	3	0
59.999900144	306.0736	59.583936	3	0
69.999900103	306.0736	62.517152	3	0
79.999900112	306.0736	65.450544	3	0
89.99990014	306.0736	68.383936	3	0
99.999900119	306.0736	71.317152	3	0
109.999900117	306.0736	74.250544	3	0
119.999900156	306.0736	77.183936	3	0
129.999900104	306.0736	80.117152	3	0
139.999900113	306.0736	83.050544	3	0
149.999900152	306.0736	85.983936	3	0
159.9999001	306.0736	88.917152	3	0
169.9999001	306.0736	91.850544	3	0
179.999900148	306.0736	94.783936	3	0
189.999900117	306.0736	97.717152	3	0
199.999900116	306.0736	100.650544	3	0
209.999900155	306.0736	103.583936	3	0
219.999900113	306.0736	106.517152	3	0
229.999900112	306.0736	109.450544	3	0
239.999900141	306.0736	112.383936	3	0
249.999900119	306.0736	115.317152	3	0
259.999900108	306.0736	118.250544	3	0
269.999900136	306.0736	121.183936	3	0
279.999900115	306.0736	124.117152	3	0
289.999900115	306.0736	127.050544	3	0
299.999900144	306.0736	129.983936	3	0
309.999900102	306.0736	132.917152	3	0
319.999900111	306.0736	135.850544	3	0
329.99990015	306.0736	138.783936	3	0
339.999900118	306.0736	141.717152	3	0
349.999900117	306.0736	144.650544	3	0
359.999900146	306.0736	147.583936	3	0
369.999900104	306.0736	150.517152	3	0
379.999900113	306.0736	153.450544	3	0
389.999900132	306.0736	156.383936	3	0
399.999900101	306.0736	159.317152	3	0
409.9999001	306.0736	162.250544	3	0
419.999900139	306.0736	165.183936	3	0
429.999900107	306.0736	168.117152	3	0
439.999900116	306.0736	171.050544	3	0
449.999900145	306.0736	173.983936	3	0
459.999900113	306.0736	176.917152	3	0
469.999900112	306.0736	179.850544	3	0
479.999900141	306.0736	182.783936	3	0
489.999900101	306.0736	185.717152	3	0
499.999900109	306.0736	188.650544	3	0
509.999900158	306.0736	191.583936	3	0
519.999900117	306.0736	194.517152	3	0
529.999900106	306.0736	197.450544	3	0
539.999900145	306.0736	200.383936	3	0
549.999900103	306.0736	203.317152	3	0
559.999900102	306.0736	206.250544	3	0
569.999900142	306.0736	209.183936	3	0
579.999900101	306.0736	212.117152	3	0
589.999900109	306.0736	215.050544	3	0
599.999900148	306.0736	217.983936	3	0
609.999900106	306.0736	220.917152	3	0
619.999900115	306.0736	223.850544	3	0
629.999900153	306.0736	226.783936	3	0
639.999900102	306.0736	229.717152	3	0
649.999900111	306.0736	232.650544	3	0
659.99990014	306.0736	235.583936	3	0
669.999900108	306.0736	238.517152	3	0
679.999900107	306.0736	241.450544	3	0
689.999900145	306.0736	244.383936	3	0
699.999900114	306.0736	247.317152	3	0
709.999900103	306.0736	250.250544	3	0
719.999900151	306.0736	253.183936	3	0
729.99990011	306.0736	256.117152	3	0
739.999900119	306.0736	259.050544	3	0
749.999900158	306.0736	261.983936	3	0
759.999900106	306.0736	264.917152	3	0
769.999900116	306.0736	267.850544	3	0
779.999900145	306.0736	270.783936	3	0
789.999900103	306.0736	273.717152	3	0
799.99990011	306.0736	276.650544	3	0
809.999900136	306.0736	279.583936	3	0
819.999900113	306.0736	282.517152	3	0
829.999900109	306.0736	285.450544	3	0
839.999900156	306.0736	288.383936	3	0
849.999900112	306.0736	291.317152	3	0
859.999900111	306.0736	294.250544	3	0
869.999900147	306.0736	297.183936	3	0
879.999900104	306.0736	300.117152	3	0
889.9999001	306.0736	303.050544	3	0
899.999900147	306.0736	305.983936	3	0
909.999900117	306.0736	308.917152	3	0
919.999900104	306.0736	311.850544	3	0
929.99990016	306.0736	314.783936	3	0
939.999900112	306.0736	317.717152	3	0
949.999900118	306.0736	320.650544	3	0
959.999900145	306.0736	323.583936	3	0
969.999900114	306.0736	326.517152	3	0
979.999900107	306.0736	329.450544	3	0
989.999900149	306.0736	332.383936	3	0
999.999900119	306.0736	335.317152	3	0
1009.999900118	306.0736	338.250544	3	0
1019.999900145	306.0736	341.183936	3	0
1029.999900111	306.0736	344.117152	3	0
1039.99990012	306.0736	347.050544	3	0
1049.999900147	306.0736	349.983936	3	0
1059.999900119	306.0736	352.917152	3	0
1069.999900108	306.0736	355.850544	3	0
1079.999900135	306.0736	358.783936	3	0
1089.999900111	306.0736	361.717152	3	0
1099.999900107	306.0736	364.650544	3	0
1109.999900146	306.0736	367.583936	3	0
1119.999900105	306.0736	370.517152	3	0
1129.999900112	306.0736	373.450544	3	0
1139.999900142	306.0736	376.383936	3	0
1149.999900107	306.0736	379.317152	3	0
1159.999900107	306.0736	382.250544	3	0
1169.999900143	306.0736	385.183936	3	0
1179.999900104	306.0736	388.117152	3	0
1189.999900113	306.0736	391.050544	3	0
1199.99990014	306.0736	393.983936	3	0
1209.999900103	306.0736	396.917152	3	0
1219.999900113	306.0736	399.850544	3	0
1229.99990015	306.0736	402.783936	3	0
1239.999900116	306.0736	405.717152	3	0
1249.999900114	306.0736	408.650544	3	0
1259.999900155	306.0736	411.583936	3	0
1269.999900118	306.0736	414.517152	3	0
1279.999900105	306.0736	417.450544	3	0
1289.999900149	306.0736	420.383936	3	0
1299.999900106	306.0736	423.317152	3	0
1309.999900165	306.0736	426.250544	3	0
1319.999900152	306.0736	429.183936	3	0
1329.999900107	306.0736	432.117152	3	0
1339.999900106	306.0736	435.050544	3	0
1349.999900157	306.0736	437.983936	3	0
1359.999900113	306.0736	440.917152	3	0
1369.999900112	306.0736	443.850544	3	0
1379.999900137	306.0736	446.783936	3	0
1389.999900117	306.0736	449.717152	3	0
1399.999900104	306.0736	452.650544	3	0
1409.999900141	306.0736	455.583936	3	0
1419.999900111	306.0736	458.517152	3	0
1429.999900108	306.0736	461.450544	3	0
1439.999900156	306.0736	464.383936	3	0
1449.999900113	306.0736	467.317152	3	0
1459.999900119	306.0736	470.250544	3	0
1469.999900142	306.0736	473.183936	3	0
1479.999900101	306.0736	476.117152	3	0
1489.999900118	306.0736	479.050544	3	0
1499.999900144	306.0736	481.983936	3	0
1509.999900111	306.0736	484.917152	3	0
1519.999900107	306.0736	487.850544	3	0
1529.999900144	306.0736	490.783936	3	0
1539.9999001	306.0736	493.717152	3	0
1549.999900108	306.0736	496.650544	3	0
1559.999900145	306.0736	499.583936	3	0
1569.999900111	306.0736	502.517152	3	0
