# set	bench	threads	binary	round	wall_ns
serial	append/append.jl	1	vanilla	1	1603540756
serial	append/append.jl	1	regions	1	1624164621
serial	linked/tree.jl	1	vanilla	1	8781238164
serial	linked/tree.jl	1	regions	1	9117812664
serial	strings/strings.jl	1	vanilla	1	18662207871
serial	strings/strings.jl	1	regions	1	19353129256
serial	bigint/pollard.jl	1	vanilla	1	658310041
serial	bigint/pollard.jl	1	regions	1	663099258
serial	big_arrays/single_ref.jl	1	vanilla	1	419064606
serial	big_arrays/single_ref.jl	1	regions	1	400886767
serial	big_arrays/many_refs.jl	1	vanilla	1	1995042274
serial	big_arrays/many_refs.jl	1	regions	1	1821872378
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	1	1626546385
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	1	1604582348
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	1	800099705
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	1	794614605
multithreaded	big_arrays/issue-52937.jl	4	vanilla	1	9773608925
multithreaded	big_arrays/issue-52937.jl	4	regions	1	9897850623
serial	append/append.jl	1	vanilla	2	1633171507
serial	append/append.jl	1	regions	2	1631614209
serial	linked/tree.jl	1	vanilla	2	9559104278
serial	linked/tree.jl	1	regions	2	9111044072
serial	strings/strings.jl	1	vanilla	2	18798870340
serial	strings/strings.jl	1	regions	2	19034035099
serial	bigint/pollard.jl	1	vanilla	2	656794145
serial	bigint/pollard.jl	1	regions	2	663153395
serial	big_arrays/single_ref.jl	1	vanilla	2	405113428
serial	big_arrays/single_ref.jl	1	regions	2	411023890
serial	big_arrays/many_refs.jl	1	vanilla	2	1980549901
serial	big_arrays/many_refs.jl	1	regions	2	1824422417
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	2	1637038304
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	2	1608052298
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	2	807224289
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	2	791627579
multithreaded	big_arrays/issue-52937.jl	4	vanilla	2	9799289012
multithreaded	big_arrays/issue-52937.jl	4	regions	2	9828593588
serial	append/append.jl	1	vanilla	3	1609934570
serial	append/append.jl	1	regions	3	1619669549
serial	linked/tree.jl	1	vanilla	3	8964750343
serial	linked/tree.jl	1	regions	3	9032186111
serial	strings/strings.jl	1	vanilla	3	18546246021
serial	strings/strings.jl	1	regions	3	18598542212
serial	bigint/pollard.jl	1	vanilla	3	658036169
