# binary	round	threads	gcthreads	collection	wall_ms	mark_ms	sweep_ms	safepoint_us	live_mb
vanilla	1	1	1	1	48.397	43.979	4.392	2.465	55.1
vanilla	1	1	1	2	42.358	37.759	4.546	20.198	55.1
vanilla	1	1	1	3	39.504	35.451	4.02	7.134	55.1
vanilla	1	1	1	4	39.457	35.336	4.093	4.979	55.1
vanilla	1	1	1	5	39.657	35.6	4.027	6.121	55.1
vanilla	1	1	1	6	39.619	35.632	3.956	6.772	55.1
vanilla	1	1	1	7	39.544	35.592	3.921	7.605	55.1
vanilla	1	1	1	8	39.556	35.569	3.958	6.372	55.1
vanilla	1	1	1	9	39.526	35.597	3.9	5.17	55.1
vanilla	1	1	1	10	39.513	35.532	3.952	5.461	55.1
vanilla	1	1	1	11	39.625	35.675	3.92	5.821	55.1
vanilla	1	1	1	12	40.08	36.058	3.992	6.142	55.1
regions	1	1	1	1	48.746	44.696	4.027	3.557	55.1
regions	1	1	1	2	43.098	38.486	4.561	20.148	55.1
regions	1	1	1	3	40.403	36.303	4.065	5.701	55.1
regions	1	1	1	4	41.016	36.89	4.097	6.653	55.1
regions	1	1	1	5	40.549	36.601	3.919	5.6	55.1
regions	1	1	1	6	40.449	36.409	4.013	5.45	55.1
regions	1	1	1	7	40.367	36.402	3.935	6.652	55.1
regions	1	1	1	8	40.137	36.151	3.957	5.31	55.1
regions	1	1	1	9	40.26	36.328	3.903	5.19	55.1
regions	1	1	1	10	40.432	36.38	4.015	6.201	55.1
regions	1	1	1	11	40.854	36.669	4.154	6.062	55.1
regions	1	1	1	12	41.087	37.098	3.956	5.36	55.1
vanilla	1	4	2	1	56.183	48.735	7.414	7.124	151.1
vanilla	1	4	2	2	57.682	49.97	7.663	14.527	151.1
vanilla	1	4	2	3	56.349	48.856	7.46	4.819	151.1
vanilla	1	4	2	4	56.732	49.245	7.455	5.51	151.1
vanilla	1	4	2	5	56.587	49.042	7.513	5.44	151.1
vanilla	1	4	2	6	56.201	48.638	7.53	6.883	151.1
vanilla	1	4	2	7	56.738	49.177	7.523	6.573	151.1
vanilla	1	4	2	8	56.771	49.289	7.448	5.33	151.1
vanilla	1	4	2	9	56.702	49.197	7.474	5.19	151.1
vanilla	1	4	2	10	56.523	48.688	7.518	291.58	151.1
vanilla	1	4	2	11	55.583	47.988	7.56	4.469	151.1
vanilla	1	4	2	12	56.141	48.674	7.434	4.809	151.1
regions	1	4	2	1	57.85	50.496	7.326	4.949	151.1
regions	1	4	2	2	58.534	50.933	7.554	9.367	151.1
regions	1	4	2	3	58.164	50.653	7.482	5.441	151.1
regions	1	4	2	4	58.872	51.239	7.599	5.892	151.1
regions	1	4	2	5	58.717	50.978	7.699	5.27	151.1
regions	1	4	2	6	58.25	50.753	7.459	6.171	151.1
regions	1	4	2	7	58.288	50.657	7.6	6.502	151.1
regions	1	4	2	8	58.288	50.625	7.629	6.172	151.1
regions	1	4	2	9	59.428	51.782	7.611	6.803	151.1
regions	1	4	2	10	58.737	51.03	7.659	23.764	151.1
regions	1	4	2	11	58.049	50.473	7.548	4.388	151.1
regions	1	4	2	12	58.523	50.723	7.768	4.067	151.1
vanilla	1	8	4	1	70.889	61.234	9.609	7.163	279.2
vanilla	1	8	4	2	58.548	48.84	9.643	21.841	279.2
vanilla	1	8	4	3	57.987	48.296	9.652	7.394	279.2
vanilla	1	8	4	4	56.227	46.63	9.546	8.446	279.2
vanilla	1	8	4	5	55.883	46.178	9.65	9.828	279.2
vanilla	1	8	4	6	57.978	48.329	9.597	8.997	279.2
vanilla	1	8	4	7	56.158	46.446	9.668	9.277	279.2
vanilla	1	8	4	8	57.155	47.421	9.689	8.165	279.2
vanilla	1	8	4	9	69.319	59.581	9.692	8.365	279.2
vanilla	1	8	4	10	57.97	47.897	9.743	300.457	279.2
vanilla	1	8	4	11	57.135	47.173	9.926	5.921	279.2
vanilla	1	8	4	12	61.781	51.536	10.204	5.47	279.2
regions	1	8	4	1	71.011	60.588	10.384	7.725	279.2
regions	1	8	4	2	60.571	50.234	10.29	8.997	279.2
regions	1	8	4	3	64.281	53.759	10.486	5.21	279.2
regions	1	8	4	4	59.979	49.34	10.604	6.032	279.2
regions	1	8	4	5	60.7	50.153	10.513	5.16	279.2
regions	1	8	4	6	60.847	50.391	10.419	6.662	279.2
regions	1	8	4	7	60.13	49.547	10.545	6.582	279.2
regions	1	8	4	8	59.065	48.501	10.527	6.352	279.2
regions	1	8	4	9	60.597	49.663	10.564	338.929	279.2
regions	1	8	4	10	59.246	48.672	10.539	4.819	279.2
regions	1	8	4	11	60.13	49.542	10.552	5.04	279.2
regions	1	8	4	12	59.156	48.548	10.573	5.159	279.2
vanilla	1	16	8	1	76.116	60.307	15.752	11.772	535.2
vanilla	1	16	8	2	72.492	57.025	15.401	17.073	535.2
vanilla	1	16	8	3	66.078	50.324	15.706	8.506	535.2
vanilla	1	16	8	4	72.669	55.998	16.626	7.294	535.2
vanilla	1	16	8	5	67.199	50.788	16.367	7.314	535.2
vanilla	1	16	8	6	81.391	64.479	16.856	8.045	535.2
vanilla	1	16	8	7	72.27	55.931	16.283	10.41	535.2
vanilla	1	16	8	8	64.57	48.496	15.806	230.054	535.2
vanilla	1	16	8	9	71.444	55.733	15.658	5.751	535.2
vanilla	1	16	8	10	62.821	46.417	16.359	7.434	535.2
vanilla	1	16	8	11	65.602	48.609	16.943	5.922	535.2
vanilla	1	16	8	12	67.49	51.413	16.032	8.235	535.2
regions	1	16	8	1	77.518	60.343	17.135	6.392	535.2
regions	1	16	8	2	76.264	59.01	17.192	23.665	535.2
regions	1	16	8	3	75.547	57.912	17.586	8.146	535.2
regions	1	16	8	4	72.247	54.632	17.572	7.644	535.2
regions	1	16	8	5	70.663	54.371	16.255	7.765	535.2
regions	1	16	8	6	69.523	52.336	17.14	6.111	535.2
regions	1	16	8	7	68.156	51.753	16.325	29.406	535.2
regions	1	16	8	8	68.206	51.185	16.976	7.684	535.2
regions	1	16	8	9	75.68	56.741	18.896	4.599	535.2
regions	1	16	8	10	68.335	50.935	17.351	7.314	535.2
regions	1	16	8	11	66.382	49.142	17.189	6.973	535.2
regions	1	16	8	12	68.494	51.495	16.955	7.855	535.2
vanilla	1	32	16	1	92.017	67.427	24.537	7.844	1047.2
vanilla	1	32	16	2	85.455	60.761	24.623	13.195	1047.3
vanilla	1	32	16	3	77.964	53.174	24.734	8.847	1047.3
vanilla	1	32	16	4	84.514	59.155	25.296	6.442	1047.3
vanilla	1	32	16	5	81.786	56.74	24.979	8.416	1047.3
vanilla	1	32	16	6	82.883	58.171	24.645	21.17	1047.3
vanilla	1	32	16	7	81.208	56.693	24.463	5.26	1047.3
vanilla	1	32	16	8	82.229	57.606	24.575	6.923	1047.3
vanilla	1	32	16	9	75.886	51.322	24.506	7.394	1047.3
vanilla	1	32	16	10	92.271	67.592	24.63	8.115	1047.3
vanilla	1	32	16	11	81.055	56.466	24.539	6.672	1047.3
vanilla	1	32	16	12	83.189	58.587	24.551	8.356	1047.3
regions	1	32	16	1	106.479	80.269	26.143	12.233	1047.2
regions	1	32	16	2	89.549	60.434	29.047	12.413	1047.3
regions	1	32	16	3	88.398	61.616	26.725	8.155	1047.3
regions	1	32	16	4	87.442	61.087	26.292	6.111	1047.3
regions	1	32	16	5	93.134	66.826	26.252	7.635	1047.3
regions	1	32	16	6	91.395	64.568	26.754	25.488	1047.3
regions	1	32	16	7	93.376	66.993	26.334	4.659	1047.3
regions	1	32	16	8	87.181	60.711	26.417	6.302	1047.3
regions	1	32	16	9	93.468	67.041	26.372	6.903	1047.3
regions	1	32	16	10	90.081	63.59	26.443	6.282	1047.3
regions	1	32	16	11	91.226	64.822	26.341	6.132	1047.3
regions	1	32	16	12	88.484	62.03	26.403	7.314	1047.3
regions	2	1	1	1	48.917	44.765	4.128	2.514	55.1
regions	2	1	1	2	43.719	38.826	4.842	11.662	55.1
regions	2	1	1	3	40.92	36.705	4.185	4.469	55.1
regions	2	1	1	4	41.478	37.091	4.36	3.136	55.1
regions	2	1	1	5	40.801	36.559	4.215	3.777	55.1
regions	2	1	1	6	41.831	37.603	4.203	3.898	55.1
regions	2	1	1	7	41.112	36.971	4.114	3.407	55.1
regions	2	1	1	8	40.86	36.638	4.193	4.368	55.1
regions	2	1	1	9	41.319	37.262	4.033	4.268	55.1
regions	2	1	1	10	40.863	36.59	4.25	3.116	55.1
regions	2	1	1	11	40.854	36.837	3.996	3.276	55.1
regions	2	1	1	12	41.214	36.996	4.194	2.394	55.1
vanilla	2	1	1	1	48.387	43.938	4.421	4.608	55.1
vanilla	2	1	1	2	43.004	37.81	5.143	12.254	55.1
vanilla	2	1	1	3	40.009	35.854	4.109	6.812	55.1
vanilla	2	1	1	4	39.911	35.631	4.236	5.671	55.1
vanilla	2	1	1	5	39.979	35.551	4.391	6.863	55.1
vanilla	2	1	1	6	39.851	35.777	4.043	7.084	55.1
vanilla	2	1	1	7	39.523	35.545	3.933	6.312	55.1
vanilla	2	1	1	8	40.022	35.6	4.387	8.596	55.1
vanilla	2	1	1	9	39.772	35.717	4.024	6.152	55.1
vanilla	2	1	1	10	39.673	35.608	4.021	6.352	55.1
vanilla	2	1	1	11	40.031	35.631	4.363	9.107	55.1
vanilla	2	1	1	12	39.765	35.625	4.098	6.422	55.1
regions	2	4	2	1	58.369	50.475	7.859	7.574	151.1
regions	2	4	2	2	60.134	51.98	8.096	22.623	151.1
regions	2	4	2	3	58.759	50.776	7.945	9.067	151.1
regions	2	4	2	4	58.661	50.609	8.013	8.536	151.1
regions	2	4	2	5	58.612	50.561	8.014	8.375	151.1
regions	2	4	2	6	58.751	50.663	8.052	9.878	151.1
regions	2	4	2	7	58.503	50.516	7.953	8.015	151.1
regions	2	4	2	8	58.652	50.648	7.964	8.506	151.1
regions	2	4	2	9	58.623	50.434	8.02	140.936	151.1
regions	2	4	2	10	58.286	50.384	7.864	5.56	151.1
regions	2	4	2	11	58.681	50.745	7.901	5.541	151.1
regions	2	4	2	12	58.935	50.99	7.913	5.971	151.1
vanilla	2	4	2	1	56.699	49.261	7.403	7.764	151.1
