# round	mode	threads	workers	kind	index	value_us	collections
1	checked	1	0	reset	1	29.967	0
1	checked	1	0	reset	2	29.335	0
1	checked	1	0	reset	3	28.223	0
1	checked	1	0	reset	4	28.313	0
1	checked	1	0	reset	5	28.123	0
1	checked	1	0	reset	6	28.003	0
1	checked	1	0	reset	7	27.862	0
1	checked	1	0	reset	8	27.753	0
1	checked	1	0	reset	9	28.143	0
1	checked	1	0	reset	10	27.272	0
1	checked	1	0	reset	11	27.381	0
1	checked	1	0	reset	12	27.462	0
1	checked	1	0	reset	13	28.313	0
1	checked	1	0	reset	14	28.002	0
1	checked	1	0	reset	15	27.512	0
1	checked	1	0	reset	16	27.822	0
1	checked	1	0	reset	17	27.772	0
1	checked	1	0	reset	18	28.213	0
1	checked	1	0	reset	19	27.912	0
1	checked	1	0	reset	20	28.443	0
1	checked	1	0	reset	21	28.654	0
1	checked	1	0	reset	22	28.253	0
1	checked	1	0	reset	23	28.163	0
1	checked	1	0	reset	24	28.674	0
1	checked	1	0	reset	25	27.312	0
1	checked	1	0	reset	26	27.762	0
1	checked	1	0	reset	27	28.153	0
1	checked	1	0	reset	28	27.953	0
1	checked	1	0	reset	29	27.622	0
1	checked	1	0	reset	30	27.472	0
1	checked	1	0	reset	31	27.592	0
1	checked	1	0	reset	32	27.531	0
1	checked	1	0	reset	33	27.061	0
1	checked	1	0	reset	34	27.512	0
1	checked	1	0	reset	35	27.142	0
1	checked	1	0	reset	36	27.252	0
1	checked	1	0	reset	37	27.111	0
1	checked	1	0	reset	38	27.021	0
1	checked	1	0	reset	39	27.121	0
1	checked	1	0	reset	40	27.482	0
1	checked	1	0	reset	41	27.051	0
1	checked	1	0	reset	42	29.776	0
1	checked	1	0	reset	43	27.381	0
1	checked	1	0	reset	44	27.522	0
1	checked	1	0	reset	45	27.452	0
1	checked	1	0	reset	46	26.981	0
1	checked	1	0	reset	47	27.752	0
1	checked	1	0	reset	48	27.451	0
1	checked	1	0	reset	49	27.221	0
1	checked	1	0	reset	50	27.051	0
1	checked	1	0	reset	51	28.053	0
1	checked	1	0	reset	52	27.312	0
1	checked	1	0	reset	53	27.021	0
1	checked	1	0	reset	54	27.041	0
1	checked	1	0	reset	55	27.031	0
1	checked	1	0	reset	56	27.161	0
1	checked	1	0	reset	57	26.75	0
1	checked	1	0	reset	58	27.242	0
1	checked	1	0	reset	59	27.201	0
1	checked	1	0	reset	60	28.273	0
1	checked	1	0	reset	61	26.881	0
1	checked	1	0	reset	62	26.86	0
1	checked	1	0	reset	63	26.76	0
1	checked	1	0	reset	64	26.901	0
1	checked	1	0	reset	65	26.75	0
1	checked	1	0	reset	66	26.911	0
1	checked	1	0	reset	67	26.991	0
1	checked	1	0	reset	68	26.851	0
1	checked	1	0	reset	69	26.921	0
1	checked	1	0	reset	70	26.841	0
1	checked	1	0	reset	71	26.671	0
1	checked	1	0	reset	72	26.831	0
1	checked	1	0	reset	73	27.011	0
1	checked	1	0	reset	74	26.81	0
1	checked	1	0	reset	75	26.781	0
1	checked	1	0	reset	76	27.181	0
1	checked	1	0	reset	77	27.321	0
1	checked	1	0	reset	78	27.622	0
1	checked	1	0	reset	79	26.761	0
1	checked	1	0	reset	80	27.613	0
1	checked	1	0	reset	81	27.653	0
1	checked	1	0	reset	82	29.125	0
1	checked	1	0	reset	83	27.061	0
1	checked	1	0	reset	84	27.502	0
1	checked	1	0	reset	85	27.282	0
1	checked	1	0	reset	86	28.103	0
1	checked	1	0	reset	87	27.582	0
1	checked	1	0	reset	88	26.96	0
1	checked	1	0	reset	89	29.576	0
1	checked	1	0	reset	90	26.981	0
1	checked	1	0	reset	91	26.661	0
1	checked	1	0	reset	92	27.061	0
1	checked	1	0	reset	93	26.841	0
1	checked	1	0	reset	94	26.94	0
1	checked	1	0	reset	95	26.801	0
1	checked	1	0	reset	96	27.011	0
1	checked	1	0	reset	97	26.841	0
1	checked	1	0	reset	98	27.051	0
1	checked	1	0	reset	99	26.691	0
1	checked	1	0	reset	100	27.122	0
1	checked	1	0	reset	101	26.891	0
1	checked	1	0	reset	102	26.72	0
1	checked	1	0	reset	103	27.031	0
1	checked	1	0	reset	104	26.791	0
1	checked	1	0	reset	105	27.041	0
1	checked	1	0	reset	106	26.851	0
1	checked	1	0	reset	107	26.851	0
1	checked	1	0	reset	108	27.031	0
1	checked	1	0	reset	109	27.081	0
1	checked	1	0	reset	110	26.941	0
1	checked	1	0	reset	111	26.701	0
1	checked	1	0	reset	112	27.151	0
1	checked	1	0	reset	113	26.7	0
1	checked	1	0	reset	114	26.87	0
1	checked	1	0	reset	115	26.851	0
1	checked	1	0	reset	116	27.171	0
1	checked	1	0	reset	117	26.911	0
1	checked	1	0	reset	118	27.051	0
1	checked	1	0	reset	119	26.911	0
1	checked	1	0	reset	120	26.87	0
1	checked	1	0	reset	121	27.101	0
1	checked	1	0	reset	122	27.111	0
1	checked	1	0	reset	123	26.971	0
1	checked	1	0	reset	124	26.861	0
1	checked	1	0	reset	125	26.96	0
1	checked	1	0	reset	126	26.871	0
1	checked	1	0	reset	127	26.8	0
1	checked	1	0	reset	128	26.791	0
1	checked	1	0	reset	129	26.981	0
1	checked	1	0	reset	130	27.011	0
1	checked	1	0	reset	131	26.941	0
1	checked	1	0	reset	132	26.891	0
1	checked	1	0	reset	133	27.171	0
1	checked	1	0	reset	134	27.482	0
1	checked	1	0	reset	135	26.81	0
1	checked	1	0	reset	136	27.702	0
1	checked	1	0	reset	137	26.921	0
1	checked	1	0	reset	138	26.931	0
1	checked	1	0	reset	139	26.991	0
1	checked	1	0	reset	140	26.771	0
1	checked	1	0	reset	141	26.921	0
1	checked	1	0	reset	142	26.88	0
1	checked	1	0	reset	143	26.941	0
1	checked	1	0	reset	144	26.981	0
1	checked	1	0	reset	145	28.634	0
1	checked	1	0	reset	146	26.72	0
1	checked	1	0	reset	147	26.69	0
1	checked	1	0	reset	148	26.901	0
1	checked	1	0	reset	149	26.64	0
1	checked	1	0	reset	150	26.841	0
1	checked	1	0	reset	151	26.671	0
1	checked	1	0	reset	152	26.881	0
1	checked	1	0	reset	153	27.061	0
1	checked	1	0	reset	154	27.512	0
1	checked	1	0	reset	155	26.821	0
1	checked	1	0	reset	156	26.941	0
1	checked	1	0	reset	157	26.721	0
1	checked	1	0	reset	158	26.75	0
1	checked	1	0	reset	159	26.851	0
1	checked	1	0	reset	160	26.901	0
1	checked	1	0	reset	161	26.94	0
1	checked	1	0	reset	162	27.001	0
1	checked	1	0	reset	163	26.831	0
1	checked	1	0	reset	164	26.881	0
1	checked	1	0	reset	165	27.341	0
1	checked	1	0	reset	166	26.94	0
1	checked	1	0	reset	167	26.67	0
1	checked	1	0	reset	168	26.911	0
1	checked	1	0	reset	169	26.701	0
1	checked	1	0	reset	170	26.871	0
1	checked	1	0	reset	171	26.66	0
1	checked	1	0	reset	172	26.75	0
1	checked	1	0	reset	173	27.552	0
1	checked	1	0	reset	174	30.618	0
1	checked	1	0	reset	175	27.081	0
1	checked	1	0	reset	176	28.154	0
1	checked	1	0	reset	177	27.883	0
1	checked	1	0	reset	178	27.472	0
1	checked	1	0	reset	179	27.021	0
1	checked	1	0	reset	180	27.893	0
1	checked	1	0	reset	181	27.252	0
1	checked	1	0	reset	182	27.211	0
1	checked	1	0	reset	183	27.241	0
1	checked	1	0	reset	184	26.971	0
1	checked	1	0	reset	185	28.093	0
1	checked	1	0	reset	186	27.121	0
1	checked	1	0	reset	187	26.67	0
1	checked	1	0	reset	188	26.991	0
1	checked	1	0	reset	189	26.64	0
1	checked	1	0	reset	190	26.791	0
1	checked	1	0	reset	191	26.62	0
1	checked	1	0	reset	192	26.951	0
1	checked	1	0	reset	193	26.681	0
1	checked	1	0	reset	194	28.624	0
1	checked	1	0	reset	195	27.162	0
1	checked	1	0	reset	196	27.191	0
1	checked	1	0	reset	197	27.813	0
1	checked	1	0	reset	198	27.913	0
1	checked	1	0	reset	199	27.422	0
1	checked	1	0	reset	200	27.622	0
1	unsafe	1	0	reset	1	0.13	0
1	unsafe	1	0	reset	2	0.07	0
1	unsafe	1	0	reset	3	0.07	0
1	unsafe	1	0	reset	4	0.07	0
1	unsafe	1	0	reset	5	0.07	0
1	unsafe	1	0	reset	6	0.07	0
1	unsafe	1	0	reset	7	0.07	0
1	unsafe	1	0	reset	8	0.08	0
1	unsafe	1	0	reset	9	0.07	0
1	unsafe	1	0	reset	10	0.07	0
1	unsafe	1	0	reset	11	0.07	0
1	unsafe	1	0	reset	12	0.08	0
1	unsafe	1	0	reset	13	0.07	0
1	unsafe	1	0	reset	14	0.08	0
1	unsafe	1	0	reset	15	0.07	0
1	unsafe	1	0	reset	16	0.07	0
1	unsafe	1	0	reset	17	0.06	0
1	unsafe	1	0	reset	18	0.07	0
1	unsafe	1	0	reset	19	0.071	0
1	unsafe	1	0	reset	20	0.08	0
1	unsafe	1	0	reset	21	0.07	0
1	unsafe	1	0	reset	22	0.08	0
1	unsafe	1	0	reset	23	0.07	0
1	unsafe	1	0	reset	24	0.071	0
1	unsafe	1	0	reset	25	0.08	0
1	unsafe	1	0	reset	26	0.07	0
1	unsafe	1	0	reset	27	0.07	0
1	unsafe	1	0	reset	28	0.07	0
1	unsafe	1	0	reset	29	0.07	0
1	unsafe	1	0	reset	30	0.071	0
1	unsafe	1	0	reset	31	0.07	0
1	unsafe	1	0	reset	32	0.07	0
1	unsafe	1	0	reset	33	0.07	0
1	unsafe	1	0	reset	34	0.07	0
1	unsafe	1	0	reset	35	0.07	0
1	unsafe	1	0	reset	36	0.08	0
1	unsafe	1	0	reset	37	0.07	0
1	unsafe	1	0	reset	38	0.07	0
1	unsafe	1	0	reset	39	0.07	0
1	unsafe	1	0	reset	40	0.07	0
1	unsafe	1	0	reset	41	0.07	0
1	unsafe	1	0	reset	42	0.071	0
1	unsafe	1	0	reset	43	0.08	0
1	unsafe	1	0	reset	44	0.07	0
1	unsafe	1	0	reset	45	0.08	0
1	unsafe	1	0	reset	46	0.071	0
1	unsafe	1	0	reset	47	0.071	0
1	unsafe	1	0	reset	48	0.07	0
1	unsafe	1	0	reset	49	0.07	0
1	unsafe	1	0	reset	50	0.08	0
1	unsafe	1	0	reset	51	0.071	0
1	unsafe	1	0	reset	52	0.081	0
1	unsafe	1	0	reset	53	0.08	0
1	unsafe	1	0	reset	54	0.08	0
1	unsafe	1	0	reset	55	0.07	0
1	unsafe	1	0	reset	56	0.07	0
1	unsafe	1	0	reset	57	0.08	0
1	unsafe	1	0	reset	58	0.07	0
1	unsafe	1	0	reset	59	0.07	0
1	unsafe	1	0	reset	60	0.07	0
1	unsafe	1	0	reset	61	0.07	0
1	unsafe	1	0	reset	62	0.07	0
1	unsafe	1	0	reset	63	0.08	0
1	unsafe	1	0	reset	64	0.07	0
1	unsafe	1	0	reset	65	0.07	0
1	unsafe	1	0	reset	66	0.08	0
1	unsafe	1	0	reset	67	0.071	0
1	unsafe	1	0	reset	68	0.07	0
1	unsafe	1	0	reset	69	0.06	0
1	unsafe	1	0	reset	70	0.07	0
1	unsafe	1	0	reset	71	0.07	0
1	unsafe	1	0	reset	72	0.071	0
1	unsafe	1	0	reset	73	0.07	0
1	unsafe	1	0	reset	74	0.07	0
1	unsafe	1	0	reset	75	0.07	0
1	unsafe	1	0	reset	76	0.07	0
1	unsafe	1	0	reset	77	0.07	0
1	unsafe	1	0	reset	78	0.08	0
1	unsafe	1	0	reset	79	0.07	0
1	unsafe	1	0	reset	80	0.071	0
1	unsafe	1	0	reset	81	0.07	0
1	unsafe	1	0	reset	82	0.07	0
1	unsafe	1	0	reset	83	0.071	0
1	unsafe	1	0	reset	84	0.07	0
1	unsafe	1	0	reset	85	0.081	0
1	unsafe	1	0	reset	86	0.08	0
1	unsafe	1	0	reset	87	0.08	0
1	unsafe	1	0	reset	88	0.08	0
1	unsafe	1	0	reset	89	0.07	0
1	unsafe	1	0	reset	90	0.07	0
1	unsafe	1	0	reset	91	0.07	0
1	unsafe	1	0	reset	92	0.071	0
1	unsafe	1	0	reset	93	0.08	0
1	unsafe	1	0	reset	94	0.07	0
1	unsafe	1	0	reset	95	0.07	0
1	unsafe	1	0	reset	96	0.07	0
1	unsafe	1	0	reset	97	0.07	0
1	unsafe	1	0	reset	98	0.07	0
1	unsafe	1	0	reset	99	0.071	0
1	unsafe	1	0	reset	100	0.07	0
1	unsafe	1	0	reset	101	0.07	0
1	unsafe	1	0	reset	102	0.081	0
1	unsafe	1	0	reset	103	0.08	0
1	unsafe	1	0	reset	104	0.07	0
1	unsafe	1	0	reset	105	0.09	0
1	unsafe	1	0	reset	106	0.07	0
1	unsafe	1	0	reset	107	0.08	0
1	unsafe	1	0	reset	108	0.07	0
1	unsafe	1	0	reset	109	0.07	0
1	unsafe	1	0	reset	110	0.07	0
1	unsafe	1	0	reset	111	0.07	0
1	unsafe	1	0	reset	112	0.08	0
1	unsafe	1	0	reset	113	0.07	0
1	unsafe	1	0	reset	114	0.08	0
1	unsafe	1	0	reset	115	0.07	0
1	unsafe	1	0	reset	116	0.06	0
1	unsafe	1	0	reset	117	0.06	0
1	unsafe	1	0	reset	118	0.081	0
1	unsafe	1	0	reset	119	0.07	0
1	unsafe	1	0	reset	120	0.07	0
1	unsafe	1	0	reset	121	0.08	0
1	unsafe	1	0	reset	122	0.07	0
1	unsafe	1	0	reset	123	0.08	0
1	unsafe	1	0	reset	124	0.08	0
1	unsafe	1	0	reset	125	0.07	0
1	unsafe	1	0	reset	126	0.07	0
1	unsafe	1	0	reset	127	0.07	0
1	unsafe	1	0	reset	128	0.07	0
1	unsafe	1	0	reset	129	0.07	0
1	unsafe	1	0	reset	130	0.08	0
1	unsafe	1	0	reset	131	0.07	0
1	unsafe	1	0	reset	132	0.07	0
1	unsafe	1	0	reset	133	0.1	0
1	unsafe	1	0	reset	134	0.07	0
1	unsafe	1	0	reset	135	0.07	0
1	unsafe	1	0	reset	136	0.07	0
1	unsafe	1	0	reset	137	0.07	0
1	unsafe	1	0	reset	138	0.07	0
1	unsafe	1	0	reset	139	0.07	0
1	unsafe	1	0	reset	140	0.07	0
1	unsafe	1	0	reset	141	0.07	0
1	unsafe	1	0	reset	142	0.08	0
1	unsafe	1	0	reset	143	0.07	0
1	unsafe	1	0	reset	144	0.08	0
1	unsafe	1	0	reset	145	0.07	0
1	unsafe	1	0	reset	146	0.07	0
1	unsafe	1	0	reset	147	0.071	0
1	unsafe	1	0	reset	148	0.07	0
1	unsafe	1	0	reset	149	0.07	0
1	unsafe	1	0	reset	150	0.07	0
1	unsafe	1	0	reset	151	0.07	0
1	unsafe	1	0	reset	152	0.08	0
1	unsafe	1	0	reset	153	0.09	0
1	unsafe	1	0	reset	154	0.07	0
1	unsafe	1	0	reset	155	0.07	0
1	unsafe	1	0	reset	156	0.08	0
1	unsafe	1	0	reset	157	0.08	0
1	unsafe	1	0	reset	158	0.07	0
1	unsafe	1	0	reset	159	0.07	0
1	unsafe	1	0	reset	160	0.07	0
1	unsafe	1	0	reset	161	0.07	0
1	unsafe	1	0	reset	162	0.07	0
1	unsafe	1	0	reset	163	0.07	0
1	unsafe	1	0	reset	164	0.08	0
1	unsafe	1	0	reset	165	0.07	0
1	unsafe	1	0	reset	166	0.08	0
1	unsafe	1	0	reset	167	0.07	0
1	unsafe	1	0	reset	168	0.07	0
1	unsafe	1	0	reset	169	0.07	0
1	unsafe	1	0	reset	170	0.07	0
1	unsafe	1	0	reset	171	0.07	0
1	unsafe	1	0	reset	172	0.07	0
1	unsafe	1	0	reset	173	0.07	0
