# demo	point	threads	mode	wall_ms	collections	gc_ms	peak_rss_mb
B	small   (160x100, 8 spp, depth 8, 1 threads)	1	region	13.207162	0	0.0	274.37109375
B	small   (160x100, 8 spp, depth 8, 1 threads)	1	stock	12.918878	0	0.0	274.375
B	medium  (160x100, 24 spp, depth 8, 1 threads)	1	region	38.350207	0	0.0	278.0078125
B	medium  (160x100, 24 spp, depth 8, 1 threads)	1	stock	38.573539	2	0.262205	278.0078125
B	large   (160x100, 64 spp, depth 8, 1 threads)	1	region	100.879651	0	0.0	278.0078125
B	large   (160x100, 64 spp, depth 8, 1 threads)	1	stock	101.829093	6	0.702165	278.0078125
D	work=0     (grid 16, work=0, 1 threads)	1	region	86.329365	0	0.0	281.67578125
D	work=0     (grid 16, work=0, 1 threads)	1	stock	88.120585	0	0.0	281.67578125
D	work=512   (grid 16, work=512, 1 threads)	1	region	87.627454	0	0.0	284.515625
D	work=512   (grid 16, work=512, 1 threads)	1	stock	91.942015	2	1.649161	290.3125
D	work=2048  (grid 16, work=2048, 1 threads)	1	region	90.664014	0	0.0	284.515625
D	work=2048  (grid 16, work=2048, 1 threads)	1	stock	89.997416	11	6.369618	291.390625
B	small   (160x100, 8 spp, depth 8, 2 threads)	2	region	10.687146	0	0.0	277.83984375
B	small   (160x100, 8 spp, depth 8, 2 threads)	2	stock	10.420574	0	0.0	279.62109375
B	medium  (160x100, 24 spp, depth 8, 2 threads)	2	region	30.388454	0	0.0	280.8515625
B	medium  (160x100, 24 spp, depth 8, 2 threads)	2	stock	30.597888	2	0.2442	281.828125
B	large   (160x100, 64 spp, depth 8, 2 threads)	2	region	79.229627	0	0.0	281.828125
B	large   (160x100, 64 spp, depth 8, 2 threads)	2	stock	80.11048	7	0.72547	281.828125
D	work=0     (grid 16, work=0, 2 threads)	2	region	58.143398	0	0.0	284.5
D	work=0     (grid 16, work=0, 2 threads)	2	stock	58.715698	0	0.0	284.49609375
D	work=512   (grid 16, work=512, 2 threads)	2	region	58.368152	0	0.0	285.1953125
D	work=512   (grid 16, work=512, 2 threads)	2	stock	59.8512	4	3.12657	293.0078125
D	work=2048  (grid 16, work=2048, 2 threads)	2	region	61.959708	0	0.0	289.5703125
D	work=2048  (grid 16, work=2048, 2 threads)	2	stock	69.37449	18	7.526361	303.04296875
B	small   (160x100, 8 spp, depth 8, 4 threads)	4	region	6.041781	0	0.0	284.37109375
B	small   (160x100, 8 spp, depth 8, 4 threads)	4	stock	5.503986	0	0.0	284.390625
B	medium  (160x100, 24 spp, depth 8, 4 threads)	4	region	16.928604	0	0.0	285.58984375
B	medium  (160x100, 24 spp, depth 8, 4 threads)	4	stock	16.553767	2	0.272835	286.40234375
B	large   (160x100, 64 spp, depth 8, 4 threads)	4	region	42.776801	0	0.0	286.453125
B	large   (160x100, 64 spp, depth 8, 4 threads)	4	stock	43.733706	7	0.817643	286.453125
D	work=0     (grid 16, work=0, 4 threads)	4	region	36.578555	0	0.0	288.14453125
D	work=0     (grid 16, work=0, 4 threads)	4	stock	37.50941	0	0.0	288.15625
D	work=512   (grid 16, work=512, 4 threads)	4	region	37.868328	0	0.0	288.91796875
D	work=512   (grid 16, work=512, 4 threads)	4	stock	38.919151	5	3.466231	297.2890625
D	work=2048  (grid 16, work=2048, 4 threads)	4	region	39.269703	0	0.0	298.77734375
D	work=2048  (grid 16, work=2048, 4 threads)	4	stock	47.454266	24	9.114813	303.921875
B	small   (160x100, 8 spp, depth 8, 8 threads)	8	region	3.937711	0	0.0	290.12890625
B	small   (160x100, 8 spp, depth 8, 8 threads)	8	stock	3.404915	0	0.0	290.1484375
B	medium  (160x100, 24 spp, depth 8, 8 threads)	8	region	10.177024	0	0.0	291.3828125
B	medium  (160x100, 24 spp, depth 8, 8 threads)	8	stock	10.145455	2	0.314003	291.59765625
B	large   (160x100, 64 spp, depth 8, 8 threads)	8	region	25.894143	0	0.0	291.6875
B	large   (160x100, 64 spp, depth 8, 8 threads)	8	stock	26.903837	7	1.010227	291.6875
D	work=0     (grid 16, work=0, 8 threads)	8	region	24.142507	0	0.0	294.14453125
D	work=0     (grid 16, work=0, 8 threads)	8	stock	24.874529	1	1.460196	294.69140625
D	work=512   (grid 16, work=512, 8 threads)	8	region	23.847521	0	0.0	308.5625
D	work=512   (grid 16, work=512, 8 threads)	8	stock	26.376383	5	3.015148	308.71875
D	work=2048  (grid 16, work=2048, 8 threads)	8	region	25.446438	0	0.0	312.375
D	work=2048  (grid 16, work=2048, 8 threads)	8	stock	37.151425	30	9.310658	312.375
