# showcase	mode	param	wall_s	collections	gc_ms	peak_rss_mb
binarytree	stock	18	0.385879148	31	87.464168	273.235968
linkedlist	stock	64	2.205537915	10	1743.191914	2387.1488
binarytree	region	18	0.399895127	0	0.0	264.66304
linkedlist	region	64	0.579741258	0	0.0	2387.1488
tree	tree	3	0.006888649	0	0.0	NA
tree	stock	3	0.008480663	6	0.940674	NA
binarytree	stock	18	0.402636349	31	86.987928	273.18272
linkedlist	stock	64	2.212067394	10	1742.170213	2387.08736
binarytree	region	18	0.363411341	0	0.0	264.704
linkedlist	region	64	0.578184129	0	0.0	2387.10784
tree	tree	3	0.007336915	0	0.0	NA
tree	stock	3	0.008446968999999999	6	0.925046	NA
binarytree	stock	18	0.385038111	31	84.883065	273.219584
linkedlist	stock	64	2.20391963	10	1742.529743	2387.120128
binarytree	region	18	0.366801899	0	0.0	264.699904
linkedlist	region	64	0.591127925	0	0.0	2387.185664
tree	tree	3	0.0069880870000000005	0	0.0	NA
tree	stock	3	0.008259385	6	0.938541	NA
