# binary	round	cost	value	unit	samples
vanilla	1	store_disarmed	0.3273	ns/store	0.4102,0.4095,0.3273,0.3281,0.409,0.409,0.3281,0.3274
vanilla	1	construct_two	7.014	ns/object	7.014,7.194,7.294,7.35,7.472,7.639,7.413,7.497
vanilla	1	construct_shared	3.573	ns/object	3.579,3.62,3.583,3.647,3.573,3.683,3.626,3.624
vanilla	1	box_twin	3.861	ns/object	3.934,3.924,3.881,3.926,3.861,3.913,3.883,3.93
vanilla	1	alloc_stock	2.142	ns/object	2.314,2.319,2.142,2.146,2.322,2.321,2.157,2.155
vanilla	1	stock_mark	67.69	ms/collection	
regions_stock	1	store_disarmed	0.4075	ns/store	0.4081,0.4084,0.4075,0.4099,0.4104,0.4091,0.41,0.409
regions_stock	1	construct_two	7.951	ns/object	8.18,7.992,8.027,8.01,7.951,8.043,8.118,8.041
regions_stock	1	construct_shared	3.932	ns/object	3.981,3.971,3.981,3.932,3.971,3.953,3.944,3.981
regions_stock	1	box_twin	4.165	ns/object	4.187,4.235,4.165,4.229,4.302,4.179,4.169,4.188
regions_stock	1	alloc_stock	2.443	ns/object	2.453,2.465,2.453,2.443,2.447,2.451,2.457,2.459
regions_stock	1	stock_mark	66.42	ms/collection	
regions	1	store_disarmed	0.4087	ns/store	0.4088,0.4089,0.4087,0.4096,0.4102,0.4102,0.4101,0.4097
regions	1	store_armed	1.441	ns/store	1.441,1.447,1.447,1.447,1.452,1.453,1.447,1.447
regions	1	store_region	2.001	ns/store	2.015,2.008,2.009,2.008,2.004,2.005,2.001,2.001
regions	1	window_pair	10.72	ns/pair	
regions	1	switch_pair	5.959	ns/pair	
regions	1	construct_two	10.47	ns/object	11.25,10.68,10.76,10.65,10.88,10.47,10.74,10.63
regions	1	construct_shared	6.245	ns/object	6.428,6.267,6.245,6.498,6.504,6.25,6.246,6.454
regions	1	box_twin	6.388	ns/object	6.398,6.432,6.407,6.411,6.419,6.43,6.388,6.394
regions	1	alloc_stock	5.551	ns/object	5.557,5.639,5.631,5.687,5.626,5.672,5.636,5.551
regions	1	alloc_region	3.983	ns/object	3.985,3.991,4.2,3.989,4.001,3.983,4.199,3.984
regions	1	reset_slice	30.0	ns/reset	
regions	1	reset_slice_checked	2795.0	ns/reset	
regions	1	stock_mark	68.56	ms/collection	
regions	2	store_disarmed	0.4065	ns/store	0.4074,0.4085,0.4065,0.4095,0.4098,0.4092,0.4095,0.4097
regions	2	store_armed	1.44	ns/store	1.44,1.443,1.445,1.444,1.444,1.444,1.444,1.444
regions	2	store_region	1.998	ns/store	2.004,1.998,2.001,2.0,2.0,2.0,1.998,1.998
regions	2	window_pair	10.91	ns/pair	
regions	2	switch_pair	5.952	ns/pair	
regions	2	construct_two	10.52	ns/object	10.87,10.73,10.62,10.83,10.86,10.67,10.79,10.52
regions	2	construct_shared	6.205	ns/object	6.398,6.227,6.205,6.431,6.413,6.24,6.227,6.449
regions	2	box_twin	6.352	ns/object	6.352,6.376,6.371,6.388,6.391,6.394,6.409,6.434
regions	2	alloc_stock	3.478	ns/object	3.503,3.495,3.5,3.534,3.529,3.48,3.478,3.496
regions	2	alloc_region	3.983	ns/object	3.989,3.988,4.203,3.999,3.998,3.983,4.215,3.99
regions	2	reset_slice	30.0	ns/reset	
regions	2	reset_slice_checked	2745.0	ns/reset	
